고객ID,거래날짜,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,trade_month
USER_0000,2019-09-15,107,2,30.99,3,1,1,311,기타,2019-09
USER_0001,2019-11-02,59,60,13834.9,3,4,4,344,충성고객,2019-11
USER_0002,2019-10-19,73,23,1442.12,3,3,2,332,기타,2019-10
USER_0003,2019-12-14,17,17,1360.07,4,2,2,422,기타,2019-12
USER_0004,2019-09-15,107,36,1442.47,3,3,2,332,기타,2019-09
USER_0005,2019-08-23,130,16,601.81,3,2,1,321,기타,2019-08
USER_0006,2019-06-25,189,91,6914.31,2,4,4,244,충성고객,2019-06
USER_0007,2019-12-07,24,14,471.58,4,2,1,421,기타,2019-12
USER_0008,2019-11-21,40,77,9950.31,4,4,4,444,VIP고객,2019-11
USER_0009,2019-09-23,99,69,4954.12,3,4,4,344,충성고객,2019-09
USER_0010,2019-07-28,156,10,581.89,2,1,1,211,기타,2019-07
USER_0011,2019-09-08,114,19,702.22,3,2,2,322,기타,2019-09
USER_0012,2019-08-31,122,22,2233.4300000000003,3,3,3,333,기타,2019-08
USER_0013,2019-07-20,164,32,1383.64,2,3,2,232,기타,2019-07
USER_0014,2019-09-28,94,11,677.16,3,2,2,322,기타,2019-09
USER_0015,2019-12-21,10,26,2297.3,4,3,3,433,기타,2019-12
USER_0016,2019-08-22,131,26,2916.34,3,3,3,333,기타,2019-08
USER_0017,2019-12-14,17,7,601.36,4,1,1,411,기타,2019-12
USER_0018,2019-08-13,140,47,2772.53,2,4,3,243,기타,2019-08
USER_0019,2019-10-18,74,30,1661.75,3,3,2,332,기타,2019-10
USER_0020,2019-10-16,76,11,2012.17,3,2,3,323,기타,2019-10
USER_0021,2019-09-20,102,13,1024.12,3,2,2,322,기타,2019-09
USER_0022,2019-07-12,172,16,725.93,2,2,2,222,기타,2019-07
USER_0023,2019-07-14,170,13,1326.77,2,2,2,222,기타,2019-07
USER_0024,2019-04-13,262,20,2239.74,1,2,3,123,기타,2019-04
USER_0025,2019-11-21,40,44,5600.17,4,3,4,434,충성고객,2019-11
USER_0026,2019-04-10,265,147,13829.98,1,4,4,144,놓치면 안되는 고객,2019-04
USER_0027,2019-05-23,222,3,31.52,1,1,1,111,이탈고객,2019-05
USER_0028,2019-12-14,17,18,2466.96,4,2,3,423,기타,2019-12
USER_0029,2019-03-29,277,11,1731.18,1,2,2,122,기타,2019-03
USER_0030,2019-09-19,103,101,9722.05,3,4,4,344,충성고객,2019-09
USER_0031,2019-12-18,13,6,1250.89,4,1,2,412,기타,2019-12
USER_0032,2019-11-10,51,12,1379.78,4,2,2,422,기타,2019-11
USER_0033,2019-12-16,15,128,13907.84,4,4,4,444,VIP고객,2019-12
USER_0034,2019-10-30,62,126,11417.33,3,4,4,344,충성고객,2019-10
USER_0035,2019-11-01,60,36,6791.9400000000005,3,3,4,334,충성고객,2019-11
USER_0036,2019-11-28,33,27,3155.61,4,3,3,433,기타,2019-11
USER_0037,2019-12-05,26,2,252.79,4,1,1,411,기타,2019-12
USER_0038,2019-08-06,147,42,1290.43,2,3,2,232,기타,2019-08
USER_0039,2019-08-02,151,46,10068.55,2,3,4,234,충성고객,2019-08
USER_0040,2019-07-18,166,14,993.38,2,2,2,222,기타,2019-07
USER_0041,2019-08-04,149,98,5335.14,2,4,4,244,충성고객,2019-08
USER_0042,2019-08-03,150,15,781.67,2,2,2,222,기타,2019-08
USER_0043,2019-08-30,123,43,2717.19,3,3,3,333,기타,2019-08
USER_0044,2019-07-20,164,7,414.91,2,1,1,211,기타,2019-07
USER_0045,2019-08-13,140,5,65.75999999999999,2,1,1,211,기타,2019-08
USER_0046,2019-11-20,41,160,10021.23,4,4,4,444,VIP고객,2019-11
USER_0047,2019-12-16,15,31,5118.81,4,3,4,434,충성고객,2019-12
USER_0048,2019-07-27,157,1,10.63,2,1,1,211,기타,2019-07
USER_0049,2019-09-18,104,29,1393.55,3,3,2,332,기타,2019-09
USER_0050,2019-07-13,171,16,1271.14,2,2,2,222,기타,2019-07
USER_0051,2019-08-22,131,7,497.77,3,1,1,311,기타,2019-08
USER_0052,2019-08-14,139,16,547.75,2,2,1,221,기타,2019-08
USER_0053,2019-09-15,107,10,1636.97,3,1,2,312,기타,2019-09
USER_0054,2019-11-27,34,31,4510.39,4,3,4,434,충성고객,2019-11
USER_0055,2019-08-02,151,13,1233.68,2,2,2,222,기타,2019-08
USER_0056,2019-11-08,53,187,19024.0,4,4,4,444,VIP고객,2019-11
USER_0057,2019-12-10,21,64,4120.18,4,4,4,444,VIP고객,2019-12
USER_0058,2019-06-26,188,10,1680.26,2,1,2,212,기타,2019-06
USER_0059,2019-10-23,69,39,1478.7,3,3,2,332,기타,2019-10
USER_0060,2019-08-17,136,9,277.62,2,1,1,211,기타,2019-08
USER_0061,2019-12-11,20,22,2786.23,4,3,3,433,기타,2019-12
USER_0062,2019-12-21,10,146,12235.27,4,4,4,444,VIP고객,2019-12
USER_0063,2019-11-16,45,11,1599.95,4,2,2,422,기타,2019-11
USER_0064,2019-06-12,202,67,5932.2,2,4,4,244,충성고객,2019-06
USER_0065,2019-11-05,56,76,5677.5,3,4,4,344,충성고객,2019-11
USER_0066,2019-08-02,151,42,2361.48,2,3,3,233,기타,2019-08
USER_0067,2019-07-24,160,74,3809.52,2,4,3,243,기타,2019-07
USER_0068,2019-03-04,302,1,18.99,1,1,1,111,이탈고객,2019-03
USER_0069,2019-11-02,59,26,4440.63,3,3,4,334,충성고객,2019-11
USER_0070,2019-09-30,92,12,849.0799999999999,3,2,2,322,기타,2019-09
USER_0071,2019-12-16,15,15,783.38,4,2,2,422,기타,2019-12
USER_0072,2019-08-17,136,9,572.3299999999999,2,1,1,211,기타,2019-08
USER_0073,2019-04-19,256,3,283.19,1,1,1,111,이탈고객,2019-04
USER_0074,2019-10-27,65,16,339.35,3,2,1,321,기타,2019-10
USER_0075,2019-06-27,187,33,2434.21,2,3,3,233,기타,2019-06
USER_0076,2019-12-16,15,58,5886.88,4,4,4,444,VIP고객,2019-12
USER_0077,2019-12-04,27,67,5100.25,4,4,4,444,VIP고객,2019-12
USER_0078,2019-11-05,56,75,4378.81,3,4,4,344,충성고객,2019-11
USER_0079,2019-08-18,135,2,60.79,2,1,1,211,기타,2019-08
USER_0080,2019-11-10,51,16,2440.42,4,2,3,423,기타,2019-11
USER_0081,2019-06-26,188,53,3882.93,2,4,3,243,기타,2019-06
USER_0082,2019-04-18,257,2,14.38,1,1,1,111,이탈고객,2019-04
USER_0083,2019-08-09,144,9,2435.4700000000003,2,1,3,213,기타,2019-08
USER_0084,2019-10-05,87,51,2731.26,3,4,3,343,기타,2019-10
USER_0085,2019-12-19,12,34,2969.7,4,3,3,433,기타,2019-12
USER_0086,2019-10-02,90,5,765.99,3,1,2,312,기타,2019-10
USER_0087,2019-09-19,103,4,82.8,3,1,1,311,기타,2019-09
USER_0088,2019-06-09,205,2,37.98,2,1,1,211,기타,2019-06
USER_0089,2019-11-30,31,74,6682.52,4,4,4,444,VIP고객,2019-11
USER_0090,2019-08-30,123,10,255.15,3,1,1,311,기타,2019-08
USER_0091,2019-09-09,113,23,1769.83,3,3,3,333,기타,2019-09
USER_0092,2019-12-10,21,12,1364.93,4,2,2,422,기타,2019-12
USER_0093,2019-07-12,172,5,202.98,2,1,1,211,기타,2019-07
USER_0094,2019-12-03,28,223,15419.82,4,4,4,444,VIP고객,2019-12
USER_0095,2019-12-11,20,127,12186.51,4,4,4,444,VIP고객,2019-12
USER_0096,2019-09-30,92,77,9876.2,3,4,4,344,충성고객,2019-09
USER_0097,2019-01-31,334,7,958.58,1,1,2,112,기타,2019-01
USER_0098,2019-10-27,65,15,1320.62,3,2,2,322,기타,2019-10
USER_0099,2019-10-14,78,9,1708.95,3,1,2,312,기타,2019-10
USER_0100,2019-06-28,186,30,1644.38,2,3,2,232,기타,2019-06
USER_0101,2019-08-30,123,33,2806.98,3,3,3,333,기타,2019-08
USER_0102,2019-11-08,53,33,3030.23,4,3,3,433,기타,2019-11
USER_0103,2019-12-21,10,47,3743.1,4,4,3,443,기타,2019-12
USER_0104,2019-11-27,34,65,6810.07,4,4,4,444,VIP고객,2019-11
USER_0105,2019-07-06,178,18,1944.75,2,2,3,223,기타,2019-07
USER_0106,2019-08-21,132,11,529.04,2,2,1,221,기타,2019-08
USER_0107,2019-02-09,325,24,4812.79,1,3,4,134,기타,2019-02
USER_0108,2019-11-17,44,25,1912.64,4,3,3,433,기타,2019-11
USER_0109,2019-10-11,81,12,917.73,3,2,2,322,기타,2019-10
USER_0110,2019-08-19,134,13,545.52,2,2,1,221,기타,2019-08
USER_0111,2019-11-27,34,62,12269.8,4,4,4,444,VIP고객,2019-11
USER_0112,2019-07-13,171,4,79.94999999999999,2,1,1,211,기타,2019-07
USER_0113,2019-11-20,41,43,2890.57,4,3,3,433,기타,2019-11
USER_0114,2019-08-16,137,4,141.85,2,1,1,211,기타,2019-08
USER_0115,2019-01-30,335,11,1778.57,1,2,3,123,기타,2019-01
USER_0116,2019-10-24,68,56,9363.55,3,4,4,344,충성고객,2019-10
USER_0117,2019-09-28,94,20,1729.89,3,2,2,322,기타,2019-09
