고객ID,Recency_Grade,Frequency_Grade,Monetary_Grade,Customer_Segment
USER_0000,3,1,1,3
USER_0001,3,3,3,1
USER_0002,3,2,2,3
USER_0003,4,2,2,3
USER_0004,3,3,2,1
USER_0005,3,2,1,3
USER_0006,2,3,3,2
USER_0007,4,2,1,3
USER_0008,4,3,3,1
USER_0009,3,3,3,1
USER_0010,2,1,1,0
USER_0011,3,2,1,3
USER_0012,3,2,2,3
USER_0013,2,2,2,0
USER_0014,3,1,1,3
USER_0015,4,2,3,1
USER_0016,3,2,2,3
USER_0017,4,1,1,3
USER_0018,2,3,3,2
USER_0019,3,2,2,3
USER_0020,3,1,2,3
USER_0021,3,2,2,3
USER_0022,2,2,1,0
USER_0023,2,1,1,0
USER_0024,1,2,2,0
USER_0025,4,3,3,1
USER_0026,1,4,4,2
USER_0027,1,1,1,0
USER_0028,4,2,2,3
USER_0029,1,1,2,0
USER_0030,3,3,4,1
USER_0031,4,1,2,3
USER_0032,4,1,2,3
USER_0033,4,4,4,1
USER_0034,3,4,4,1
USER_0035,3,3,3,1
USER_0036,4,2,3,1
USER_0037,4,1,1,3
USER_0038,2,3,2,2
USER_0039,2,3,3,2
USER_0040,2,2,2,0
USER_0041,2,3,3,2
USER_0042,2,2,1,0
USER_0043,3,3,3,1
USER_0044,2,1,1,0
USER_0045,2,1,1,0
USER_0046,4,4,4,1
USER_0047,4,2,3,1
USER_0048,2,1,1,0
USER_0049,3,2,2,3
USER_0050,2,2,2,0
USER_0051,3,1,1,3
USER_0052,2,2,1,0
USER_0053,3,1,2,3
USER_0054,4,2,3,1
USER_0055,2,2,2,0
USER_0056,4,4,4,1
USER_0057,4,3,3,1
USER_0058,2,1,2,0
USER_0059,3,3,2,1
USER_0060,2,1,1,0
USER_0061,4,2,3,1
USER_0062,4,4,4,1
USER_0063,4,1,2,3
USER_0064,2,3,3,2
USER_0065,3,3,3,1
USER_0066,2,3,3,2
USER_0067,2,3,3,2
USER_0068,1,1,1,0
USER_0069,3,2,3,1
USER_0070,3,1,1,3
USER_0071,4,2,1,3
USER_0072,2,1,1,0
USER_0073,1,1,1,0
USER_0074,3,2,1,3
USER_0075,2,2,3,2
USER_0076,4,3,3,1
USER_0077,4,3,3,1
USER_0078,3,3,3,1
USER_0079,2,1,1,0
USER_0080,4,2,2,3
USER_0081,2,3,3,2
USER_0082,1,1,1,0
USER_0083,2,1,2,0
USER_0084,3,3,3,1
USER_0085,4,2,3,1
USER_0086,3,1,1,3
USER_0087,3,1,1,3
USER_0088,2,1,1,0
USER_0089,4,3,3,1
USER_0090,3,1,1,3
USER_0091,3,2,2,3
USER_0092,4,1,2,3
USER_0093,2,1,1,0
USER_0094,4,4,4,1
USER_0095,4,4,4,1
USER_0096,3,3,3,1
USER_0097,1,1,2,0
USER_0098,3,2,1,3
USER_0099,3,1,2,3
USER_0100,2,2,2,0
USER_0101,3,2,3,1
USER_0102,4,2,3,1
USER_0103,4,3,3,1
USER_0104,4,3,3,1
USER_0105,2,2,2,0
USER_0106,2,1,1,0
USER_0107,1,2,2,0
USER_0108,4,2,2,3
USER_0109,3,1,2,3
USER_0110,2,2,1,0
USER_0111,4,3,3,1
USER_0112,2,1,1,0
USER_0113,4,3,3,1
USER_0114,2,1,1,0
USER_0115,1,1,2,0
USER_0116,3,3,3,1
USER_0117,3,2,2,3
USER_0118,3,4,4,1
USER_0119,2,3,2,2
USER_0120,4,3,3,1
USER_0121,1,1,1,0
USER_0122,1,2,2,0
USER_0123,4,3,3,1
USER_0124,2,3,3,2
USER_0125,4,2,2,3
