고객ID,last_ord_date,Recency,Frequency,Monetary,Recency_Grade,Frequency_Grade,Monetary_Grade,is_back_up_down,co_purchase_up_down,cohort_is_back_score,cohort_co_purchase_score
USER_0000,2019-09-15,107,2,185.6882,3,1,1,0,1,중,중
USER_0001,2019-11-02,59,55,6295.6076,3,3,3,4,3,중,중
USER_0002,2019-10-19,73,23,1842.8708000000001,3,2,2,2,3,중,중
USER_0003,2019-12-14,17,17,1636.2142000000001,4,2,2,0,0,중,중
USER_0004,2019-09-15,107,36,2231.7198,3,3,2,0,1,중,중
USER_0005,2019-08-23,130,16,792.4881,3,2,1,1,2,중,중
USER_0006,2019-06-25,189,90,7473.660000000001,2,3,3,3,4,중,중
USER_0007,2019-12-07,24,14,629.9292,4,2,1,0,0,중,중
USER_0008,2019-11-21,40,76,10143.421400000001,4,3,3,2,3,상,상
USER_0009,2019-09-23,99,68,5439.1017,3,3,3,2,3,중,중
USER_0010,2019-07-28,156,10,752.9134,2,1,1,4,3,중,중
USER_0011,2019-09-08,114,19,911.8343,3,2,1,0,1,중,중
USER_0012,2019-08-31,122,22,2635.3103,3,2,2,1,2,중,중
USER_0013,2019-07-20,164,32,1812.4124000000002,2,2,2,5,7,중,중
USER_0014,2019-09-28,94,11,828.3124,3,1,1,0,1,중,중
USER_0015,2019-12-21,10,26,2799.8687,4,2,3,0,0,중,중
USER_0016,2019-08-22,131,24,2080.2652,3,2,2,2,3,중,중
USER_0017,2019-12-14,17,7,706.6268,4,1,1,0,0,중,중
USER_0018,2019-08-13,140,47,3438.4165000000003,2,3,3,2,3,중,중
USER_0019,2019-10-18,74,30,2146.9718,3,2,2,2,3,중,중
USER_0020,2019-10-16,76,11,2260.5746,3,1,2,0,0,중,중
USER_0021,2019-09-20,102,13,1220.9548,3,2,2,0,1,중,중
USER_0022,2019-07-12,172,16,952.4535000000001,2,2,1,2,3,중,중
USER_0023,2019-07-14,170,12,940.5706,2,1,1,5,7,중,중
USER_0024,2019-04-13,262,19,2320.8897,1,2,2,2,3,하,하
USER_0025,2019-11-21,40,43,5795.954,4,3,3,6,6,상,상
USER_0026,2019-04-10,265,144,16011.4578,1,4,4,6,6,중,중
USER_0027,2019-05-23,222,3,54.016,1,1,1,3,4,하,하
USER_0028,2019-12-14,17,17,1715.6025,4,2,2,1,2,중,중
USER_0029,2019-03-29,277,11,1995.0324,1,1,2,4,3,하,하
USER_0030,2019-09-19,103,100,11283.4853,3,3,4,0,1,중,중
USER_0031,2019-12-18,13,6,1408.5053,4,1,2,0,0,중,중
USER_0032,2019-11-10,51,12,1600.0588000000002,4,1,2,0,0,중,중
USER_0033,2019-12-16,15,128,16376.278100000001,4,4,4,6,6,상,상
USER_0034,2019-10-30,62,126,14311.048,3,4,4,6,6,중,중
USER_0035,2019-11-01,60,34,6077.0636,3,3,3,4,3,중,중
USER_0036,2019-11-28,33,27,3762.6082,4,2,3,3,4,중,중
USER_0037,2019-12-05,26,2,286.0235,4,1,1,0,0,중,중
USER_0038,2019-08-06,147,42,1700.7836,2,3,2,1,2,중,중
USER_0039,2019-08-02,151,43,5054.3984,2,3,3,2,3,중,중
USER_0040,2019-07-18,166,14,1176.6868,2,2,2,2,3,중,중
USER_0041,2019-08-04,149,98,7032.7913,2,3,3,1,2,중,중
USER_0042,2019-08-03,150,15,975.1138,2,2,1,1,2,중,중
USER_0043,2019-08-30,123,43,3405.6874000000003,3,3,3,1,2,중,중
USER_0044,2019-07-20,164,7,501.3111,2,1,1,2,3,중,중
USER_0045,2019-08-13,140,5,107.5968,2,1,1,1,2,중,중
